Month,UnemploymentOver25years,UnemploymentTotal,UnemploymentUnder25years
"2005-01",8,10.1,18.9
"2005-02",8.1,10.1,18.9
"2005-03",7.7,9.7,18.1
"2005-04",7.2,9,16.9
"2005-05",6.6,8.5,16.4
"2005-06",6.5,8.4,16.3
"2005-07",6.4,8.4,16.5
"2005-08",6.6,8.6,16.9
"2005-09",6.9,8.9,16.9
"2005-10",7.2,9.1,17.3
"2005-11",7.6,9.5,17.5
"2005-12",7.9,10,18.9
"2006-01",8.4,10.4,18.9
"2006-02",8.6,10.6,19.1
"2006-03",8,9.6,16.8
"2006-04",7.2,8.8,15.9
"2006-05",6.2,7.7,14.4
"2006-06",6.2,7.9,15
"2006-07",6.2,7.9,15.3
"2006-08",6.5,8.2,15.7
"2006-09",6.2,8.1,15.8
"2006-10",6.2,8.1,16.3
"2006-11",6.5,8.5,16.6
"2006-12",7.2,9.2,17.7
"2007-01",7.7,9.6,17.7
"2007-02",8,9.9,18.5
"2007-03",7.5,9.2,17
"2007-04",7,8.7,16.5
"2007-05",6.4,8,15.5
"2007-06",6.1,8,16.4
"2007-07",6,8,16.7
"2007-08",6.3,8.4,17.3
"2007-09",6.6,8.5,16.9
"2007-10",6.9,8.9,17.6
"2007-11",7.3,9.2,17.7
"2007-12",7.6,9.6,18.4
"2008-01",8.2,10.1,18.9
"2008-02",8.6,10.5,19.3
"2008-03",8,9.8,17.7
"2008-04",7.2,8.7,15.8
"2008-05",6.6,8.1,15.1
"2008-06",6.6,8.4,16.2
"2008-07",6.9,8.8,17.2
"2008-08",7.1,9,17.7
"2008-09",7.4,9.5,18.7
"2008-10",7.8,10,19.7
"2008-11",8.9,11.2,21.8
"2008-12",9.9,12.3,23.3
"2009-01",11.3,13.7,24.9
"2009-02",11.9,14.2,25.2
"2009-03",11.9,14.1,24.7
"2009-04",11.1,13.3,23.8
"2009-05",10,12.2,22.7
"2009-06",9.5,11.7,21.6
"2009-07",9.4,11.6,21.2
"2009-08",10,12.1,21.2
"2009-09",9.8,12,21.8
"2009-10",9.6,11.7,21.8
"2009-11",9.6,11.8,22.2
"2009-12",10.2,12.2,21.9
"2010-01",11,13.1,23.8
"2010-02",10.9,13,23.3
"2010-03",10.3,12.3,22.5
"2010-04",9.2,10.8,19.2
"2010-05",8.3,9.9,17.8
"2010-06",7.8,9.4,17.2
"2010-07",7.7,9.4,17.6
"2010-08",8.1,10.1,19.2
"2010-09",8.2,10.1,19.2
"2010-10",8.1,10,19.2
"2010-11",7.9,9.7,18.8
"2010-12",8.3,10.2,19.6
"2011-01",8.9,10.7,19.9
"2011-02",8.7,10.4,18.6
"2011-03",8.3,9.8,17.5
"2011-04",7.5,8.9,16.4
"2011-05",7,8.5,16.2
"2011-06",6.6,8.3,16.6
"2011-07",6.4,8.2,16.7
"2011-08",6.4,8.3,17
"2011-09",6.3,7.9,15.7
"2011-10",6.6,8.1,15.7
"2011-11",6.7,8.1,15.2
"2011-12",7.3,8.7,16.3
